product_id,code,name_short_en,product_level,top_parent_id,product_id_hierarchy
1,1,Textiles,1,1,1
2,2,Agriculture,1,2,2
3,3,Stone,1,3,3
4,4,Minerals,1,4,4
5,5,Metals,1,5,5
6,6,Chemicals,1,6,6
7,7,Vehicles,1,7,7
8,8,Machinery,1,8,8
9,9,Electronics,1,9,9
10,10,Other,1,10,10
100,01,Live animals,2,2,2.100
101,02,Meat,2,2,2.101
102,03,Fish,2,2,2.102
103,04,Diary products,2,2,2.103
104,05,Animal products,2,2,2.104
105,06,Plants,2,2,2.105
106,07,Vegetables,2,2,2.106
107,08,Fruits and nuts,2,2,2.107
108,09,"Coffee, tea and spices",2,2,2.108
109,10,Cereals,2,2,2.109
110,11,"Flours, starches and malts",2,2,2.110
111,12,Oil seeds and oleaginous fruits,2,2,2.111
112,13,Lac and other vegetable extracts,2,2,2.112
113,14,Other vegetable materials,2,2,2.113
114,15,"Animal or vegetable fats, oils or waxes",2,2,2.114
115,16,Preparations of meat or fish,2,2,2.115
116,17,Sugar and candy,2,2,2.116
117,18,Cocoa,2,2,2.117
118,19,"Preparations of cereals, flour, starch or milk",2,2,2.118
119,20,"Preparations of vegetables, fruit, or nuts",2,2,2.119
120,21,Miscellaneous edible preparations,2,2,2.120
121,22,Beverages,2,2,2.121
122,23,Food residues and animal feed,2,2,2.122
123,24,Tobacco,2,2,2.123
124,25,"Salt, sulphur, lime, cement, etc.",2,4,4.124
125,26,"Ores, slag and ash",2,4,4.125
126,27,"Mineral fuels, oils and waxes",2,4,4.126
127,28,Inorganic chemicals,2,6,6.127
128,29,Organic chemicals,2,6,6.128
129,30,Pharmaceutical products,2,6,6.129
130,31,Fertilisers,2,6,6.130
131,32,"Dyes, paints, inks, etc.",2,6,6.131
132,33,Essential oils,2,6,6.132
133,34,"Soaps, waxes, and paints",2,6,6.133
134,35,Albuminoidals; modified starches; glues; enzymes,2,6,6.134
135,36,Explosives,2,6,6.135
136,37,Photographic or cinematographic goods,2,6,6.136
137,38,Miscellaneous chemical products,2,6,6.137
138,39,Plastics,2,6,6.138
139,40,Rubber,2,6,6.139
140,41,Leather and skins,2,2,2.140
141,42,Articles of leather,2,2,2.141
142,43,Furskins,2,2,2.142
143,44,Wood,2,2,2.143
144,45,Cork,2,2,2.144
145,46,Manufactues of plaiting materials,2,2,2.145
146,47,Pulp of wood,2,2,2.146
147,48,Paper and paperboard,2,2,2.147
148,49,Products of the printing industry,2,2,2.148
149,50,Silk,2,1,1.149
150,51,Wool,2,1,1.150
151,52,Cotton,2,1,1.151
152,53,Other vegetable textile fibres,2,1,1.152
153,54,Man-made filaments,2,1,1.153
154,55,Man-made staple fibres,2,1,1.154
155,56,"Wadding, felt and nonwovens",2,1,1.155
156,57,Carpets,2,1,1.156
157,58,Special woven fabrics,2,1,1.157
158,59,"Impregnated, coated or laminated textile fabrics",2,1,1.158
159,60,Knitted fabrics,2,1,1.159
160,61,"Apparel, knit",2,1,1.160
161,62,"Apparel, not knit",2,1,1.161
162,63,Other made up textile articles,2,1,1.162
163,64,Footwear,2,1,1.163
164,65,Headgear,2,1,1.164
165,66,Umbrellas and walking-sticks,2,1,1.165
166,67,Feathers and down,2,1,1.166
167,68,"Articles of stone, plaster, cement, etc.",2,3,3.167
168,69,Ceramic products,2,3,3.168
169,70,Glass and glassware,2,3,3.169
170,71,Precious metals and stones,2,3,3.170
171,72,Iron and steel,2,5,5.171
172,73,Articles of iron or steel,2,5,5.172
173,74,Copper,2,5,5.173
174,75,Nickel,2,5,5.174
175,76,Aluminium,2,5,5.175
176,78,Lead,2,5,5.176
177,79,Zinc,2,5,5.177
178,80,Tin,2,5,5.178
179,81,Other base metals,2,5,5.179
180,82,Metal tools and tableware,2,5,5.180
181,83,Miscellaneous articles of base metal,2,5,5.181
182,84,Industrial Machinery,2,8,8.182
183,85,Electrical machinery and equipment,2,9,9.183
184,86,Trains,2,7,7.184
185,87,Vehicles,2,7,7.185
186,88,Aircraft,2,7,7.186
187,89,Ships,2,7,7.187
188,90,"Apparatuses (optical, medical, etc.)",2,8,8.188
189,91,Clocks,2,8,8.189
190,92,Musical instruments,2,8,8.190
191,93,Arms and ammunition,2,8,8.191
192,94,Furniture,2,1,1.192
193,95,Toys,2,8,8.193
194,96,Miscellaneous manufactured articles,2,8,8.194
195,97,Art,2,1,1.195
196,99,Other,2,10,10.196
650,0101,Horses,4,2,2.100.650
651,0102,Bovine,4,2,2.100.651
652,0103,Swine,4,2,2.100.652
653,0104,Sheep,4,2,2.100.653
654,0105,Fowl,4,2,2.100.654
655,0106,Other live animals,4,2,2.100.655
656,0201,Beef,4,2,2.101.656
657,0202,Beef (frozen),4,2,2.101.657
658,0203,Pork,4,2,2.101.658
