product_id,code,name_short_en,product_level,top_parent_id,product_id_hierarchy
1,0,Food,1,1,1
2,1,Beverages,1,2,2
3,2,Crude materials,1,3,3
4,3,Fuels,1,4,4
5,4,Vegetable oils,1,5,5
6,5,Chemicals,1,6,6
7,6,Material manufacturers,1,7,7
8,7,Machinery and vehicles,1,8,8
9,8,Other manufacturers,1,9,9
10,9,Unspecified,1,10,10
100,00,Live animals chiefly for food,2,1,1.100
101,01,Meat and preparations,2,1,1.101
102,02,Dairy products and birds' eggs,2,1,1.102
103,03,"Fish, crustacean and molluscs, and preparations thereof",2,1,1.103
104,04,Cereals and cereal preparations,2,1,1.104
105,05,Vegetables and fruit,2,1,1.105
106,06,"Sugar, sugar preparations and honey",2,1,1.106
107,07,"Coffee, tea, cocoa, spices, and manufactures thereof",2,1,1.107
108,08,Feeding stuff for animals (not including unmilled cereals),2,1,1.108
109,09,Miscellaneous edible products and preparations,2,1,1.109
110,11,Beverages,2,2,2.110
111,12,Tobacco and tobacco manufactures,2,2,2.111
112,21,"Hides, skins and furskins, raw",2,3,3.112
113,22,Oil seeds and oleaginous fruit,2,3,3.113
114,23,Crude rubber (including synthetic and reclaimed),2,3,3.114
115,24,Cork and wood,2,3,3.115
116,25,Pulp and waste paper,2,3,3.116
117,26,Textile fibres (not wool tops) and their wastes (not in yarn),2,3,3.117
118,27,Crude fertilizer and crude minerals,2,3,3.118
119,28,Metalliferous ores and metal scrap,2,3,3.119
120,29,"Crude animal and vegetable materials, nes",2,3,3.120
121,32,"Coal, coke and briquettes",2,4,4.121
122,33,"Petroleum, petroleum products and related materials",2,4,4.122
123,34,"Gas, natural and manufactured",2,4,4.123
124,35,Electric current,2,4,4.124
125,41,Animal oils and fats,2,5,5.125
126,42,Fixed vegetable oils and fats,2,5,5.126
127,43,"Animal and vegetable oils and fats, processed, and waxes",2,5,5.127
128,51,Organic chemicals,2,6,6.128
129,52,Inorganic chemicals,2,6,6.129
130,53,"Dyeing, tanning and colouring materials",2,6,6.130
131,54,Medicinal and pharmaceutical products,2,6,6.131
132,55,Oils and perfume materials; toilet and cleansing preparations,2,6,6.132
133,56,"Fertilizers, manufactured",2,6,6.133
134,57,Explosives and pyrotechnic products,2,6,6.134
135,58,"Artificial resins and plastic materials, and cellulose esters etc",2,6,6.135
136,59,"Chemical materials and products, nes",2,6,6.136
137,61,"Leather, leather manufactures, nes, and dressed furskins",2,7,7.137
138,62,"Rubber manufactures, nes",2,7,7.138
139,63,"Cork and wood, cork manufactures",2,7,7.139
140,64,"Paper, paperboard, and articles of pulp, of paper or of paperboard",2,7,7.140
141,65,"Textile yarn, fabrics, made-up articles, nes, and related products",2,7,7.141
142,66,"Non-metallic mineral manufactures, nes",2,7,7.142
143,67,Iron and steel,2,7,7.143
144,68,Non-ferrous metals,2,7,7.144
145,69,"Manufactures of metals, nes",2,7,7.145
146,71,Power generating machinery and equipment,2,8,8.146
147,72,Machinery specialized for particular industries,2,8,8.147
148,73,Metalworking machinery,2,8,8.148
149,74,"General industrial machinery and equipment, nes, and parts of, nes",2,8,8.149
150,75,Office machines and automatic data processing equipment,2,8,8.150
151,76,"Telecommunications, sound recording and reproducing equipment",2,8,8.151
152,77,"Electric machinery, apparatus and appliances, nes, and parts, nes",2,8,8.152
153,78,Road vehicles,2,8,8.153
154,79,Other transport equipment,2,8,8.154
155,81,"Sanitary, plumbing, heating, lighting fixtures and fittings, nes",2,9,9.155
156,82,Furniture and parts thereof,2,9,9.156
157,83,"Travel goods, handbags and similar containers",2,9,9.157
158,84,Articles of apparel and clothing accessories,2,9,9.158
159,85,Footwear,2,9,9.159
160,87,"Professional, scientific, controlling instruments, apparatus, nes",2,9,9.160
161,88,"Photographic equipment and supplies, optical goods; watches, etc",2,9,9.161
162,89,"Miscellaneous manufactured articles, nes",2,9,9.162
163,91,Postal packages not classified according to kind,2,10,10.163
164,93,"Special transactions, commodity not classified according to class",2,10,10.164
165,94,"Animals, live, nes, (including zoo animals, pets, insects, etc)",2,10,10.165
166,95,"Armoured fighting vehicles, war firearms, ammunition, parts, nes",2,10,10.166
167,96,"Coin (other than gold coin), not being legal tender",2,10,10.167
168,97,"Gold, non-monetary (excluding gold ores and concentrates)",2,10,10.168
169,ZZ,Unknown,2,10,10.169
650,0011,"Animals of the bovine species (including buffaloes), live",4,1,1.100.650
651,0012,"Sheep and goats, live",4,1,1.100.651
652,0013,"Swine, live",4,1,1.100.652
653,0014,"Poultry, live",4,1,1.100.653
654,0015,"Equine species, live",4,1,1.100.654
655,0019,"Live animals of a kind mainly used for human food, nes",4,1,1.100.655
656,0111,"Bovine meat, fresh, chilled or frozen",4,1,1.101.656
657,0112,"Meat of sheep and goats, fresh, chilled or frozen",4,1,1.101.657
658,0113,"Pig meat fresh, chilled or frozen",4,1,1.101.658
659,0114,"Poultry, dead and edible offal, fresh, chilled or frozen",4,1,1.101.659
660,0115,"Meat of horses, asses, mules and hinnies, fresh, chilled or frozen",4,1,1.101.660
661,0116,"Edible offal of headings 0011-5 and 0015, fresh, chilled or frozen",4,1,1.101.661
662,0118,"Other fresh, chilled or frozen meat or edible meat offal",4,1,1.101.662
663,0121,"Bacon, ham, other dried, salted or smoked meat of domestic swine",4,1,1.101.663
664,0129,"Meat and edible meat offal, nes, in brine, dried, salted or smoked",4,1,1.101.664
665,0141,Meat extracts and juices; fish extracts,4,1,1.101.665
666,0142,"Sausages and the like, of meat, meat offal or animal blood",4,1,1.101.666
667,0149,Other prepared or preserved meat or meat offal,4,1,1.101.667
668,0223,"Milk and cream fresh, not concentrated or sweetened",4,1,1.102.668
669,0224,"Milk and cream, preserved, concentrated or sweetened",4,1,1.102.669
670,0230,Butter,4,1,1.102.670
671,0240,Cheese and curd,4,1,1.102.671
672,0251,"Eggs, birds', and egg yolks, fresh, dried or preserved, in shell",4,1,1.102.672
673,0252,"Eggs, birds', egg yolks, fresh, dried or preserved, not in shell",4,1,1.102.673
